(18,100), (20,100), (19,100), (17,100)
(21,100)
(20,100)
(20,100)
exp_version 4: (6,0)
exp_version 4: (6,0)
exp_version 4: (7154,0)
exp_version 4: (4164,0)
exp_version 4: (4163,0)
exp_version 4: (2428,0)
exp_version 4: (2187,0)
exp_version 4: (240,0)
exp_version 4: (84,0)
exp_version 4: (33,0)
exp_version 4: (14,0)
exp_version 4: (17,0)
exp_version 4: (18,0)
exp_version 4: (23,0)
exp_version 4: (14,0)
exp_version 4: (16,0)
exp_version 4: (13,0)
exp_version 4: (51,0)
exp_version 4: (16,0)
exp_version 4: (1,0)
exp_version 4: (0,0)
exp_version 4: (1,0)
exp_version 4: (1,0)
exp_version 4: (2,0)
exp_version 4: (0,0)
exp_version 4: (27,0)
exp_version 4: (315,0)
exp_version 4: (2516,0)
exp_version 4: (13720,0)
exp_version 4: (167,0)
exp_version 4: (859,0)
exp_version 4: (7841,0)
exp_version 4: (2719,0)
exp_version 4: (2412,0)
exp_version 4: (2637,0)
exp_version 4: (2353,0)
exp_version 4: (2344,0)
exp_version 4: (2316,0)
exp_version 4: (2375,0)
exp_version 4: (2318,0)
exp_version 4: (2476,0)
exp_version 4: (24187,0)
exp_version 4: (2403,0)
exp_version 4: (0,520)
exp_version 1.83s : (4,0)
exp_version 4 : (1.84, 0)
exp_version 4 : (1.85, 0)
exp_version 4 : (1.88, 0)
exp_version 4 : (1.84, 0)
exp_version 4 : (19.74, 0)
exp_version 4 : (18.58, 0)
exp_version 4 : (17.80, 0)
exp_version 4 : (2.79, 0)
exp_version 4 : (2.80, 0)
exp_version 4 : (6.50, 0)
exp_version 4 : (2.04, 0)
exp_version 4 : (0.06, 0)
exp_version 4 : (0.00, 0)
exp_version 4 : (0.01, 0)
exp_version 4 : (0.01, 0)
exp_version 4 : (0.01, 0)
exp_version 4 : (0.01, 0)
exp_version 4 : (0.01, 0)
exp_version 4 : (0.01, 0)
exp_version 4 : (0.00, 0)
exp_version 4 : (0.00, 0)
exp_version 4 : (0.00, 0)
exp_version 4 : (0.00, 0)
exp_version 4 : (0.00, 0)
exp_version 4 : (0.00, 0)
exp_version 4 : (0.01, 0)
exp_version 4 : (0.01, 0)
exp_version 4 : (7.11, 0)
exp_version 4 : (0.00, 0)
exp_version 4 : (0.00, 0)
exp_version 4 : (0.01, 0)
exp_version 4 : (0.00, 0)
exp_version 4 : (0.01, 0)
exp_version 4 : (0.01, 0)
exp_version 4 : (0.01, 0)
exp_version 4 : (0.01, 1)
exp_version 4 : (0.01, 10)
exp_version 4 : (0.01, 10)
exp_version 4 : (0.01, 10)
exp_version 4 : (0.01, 10)
exp_version 4 : (0.01, 10)
exp_version 4 : (0.01, 10)
exp_version 4 : (0.01, 10)
exp_version 4 : (0.08, 10)
exp_version 4 : (0.29, 10)
exp_version 4 : (1.67, 965)
exp_version 4 : (1.99, 1578)
exp_version 4 : (1.78, 1578)
exp_version 4 : (121.77, 17085)
exp_version 4 : (1.77, 1578)
exp_version 4 : (1.82, 1578)
exp_version 4 : (1.90, 1578)
exp_version 4 : (2.50, 1578)
exp_version 4 : (1.83, 965)
exp_version 4 : (1.36, 965)
exp_version 4 : (0.01, 0)
exp_version 4 : (0.02, 0)
exp_version 4 : (0.01, 0)
exp_version 4 : (0.01, 0)
exp_version 4 : (0.01, 1)
exp_version 4 : (1.54, 1000)
exp_version 4 : (1.49, 1000)
exp_version 4 : (21.36, 10008)
exp_version 4 : (0.07, 12)
exp_version 4 : (0.06, 12)
exp_version 4 : (0.06, 12)
exp_version 4 : (0.09, 12)
exp_version 4 : (0.10, 12)
exp_version 4 : (0.05, 12)
exp_version 4 : (0.08, 12)
exp_version 4 : (0.03, 12)
exp_version 4 : (0.02, 12)
exp_version 4 : (0.02, 12)
exp_version 4 : (0.00, 12)
exp_version 4 : (0.04, 244)
exp_version 4 : (1.40, 2412)
exp_version 4 : (112.98, 36742)
exp_version 4 : (19.16, 15562)
exp_version 4 : (18.55, 15562)
exp_version 1 : (8.05, 15562)
exp_version 1 : (8.24, 15562)
exp_version 4 : (18.35, 15562)
exp_version 4 : (15.74, 15562)
exp_version 0 : (7.64, 15562)
exp_version 1 : (8.53, 15562)
exp_version 2 : (8.18, 15562)
exp_version 2 : (3.45, 15310)
exp_version 2 : (3.44, 15310)
exp_version 2 : (3.53, 15310)
exp_version 4 : (15.27, 15562)
exp_version 4 : (15.72, 15562)
exp_version 4 : (15.47, 15562)
exp_version 4 : (14.87, 15562)
exp_version 4 : (9.60, 15562)
exp_version 4 : (7.30, 15562)
exp_version 4 : (4.94, 15562)
exp_version 4 : (3.97, 15562)
exp_version 4 : (3.97, 15562)
exp_version 4 : (3.93, 15562)
exp_version 4 : (17.27, 5110)
exp_version 1 : (5.91, 5030)
exp_version 0 : (5.87, 5030)
exp_version 0 : (6.01, 5030)
exp_version 4 : (9.51, 5110)
exp_version 4 : (9.49, 5110)
exp_version 4 : (9.66, 5110)
exp_version 1 : (2.64, 5030)
exp_version 4 : (9.58, 5110)
exp_version 4 : (28.49, 5110)
exp_version 4 : (16.75, 5110)
exp_version 4 : (16.59, 5110)
exp_version 4 : (16.73, 5110)
exp_version 4 : (17.23, 5110)
exp_version 4 : (16.97, 5110)
exp_version 4 : (16.92, 5110)
exp_version 4 : (16.75, 5110)
exp_version 4 : (16.92, 5110)
exp_version 4 : (29.32, 5110)
exp_version 1 : (3.17, 5030)
exp_version 1 : (0.91, 215)
exp_version 1 : (0.93, 215)
exp_version 1 : (1.68, 215)
exp_version 1 : (3.23, 5030)
exp_version 1 : (3.34, 5030)
exp_version 1 : (0.90, 215)
exp_version 1 : (0.95, 215)
exp_version 1 : (0.89, 215)
exp_version 1 : (0.53, 4772)
exp_version 1 : (3.47, 238)
exp_version 1 : (2.83, 5030)
exp_version 1 : (2.93, 5030)
exp_version 1 : (0.91, 215)
